Id,IsDeleted,CaseNumber,ContactId,AccountId,AssetId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ContactPhone,ContactMobile,ContactEmail,ContactFax,LastViewedDate,LastReferencedDate,Employee_ID__c,Member_ID__c,Passport_ID__c,SSN__c
5000U00000AQkKEQA1,,00002231,0030U00000p33egQAA,0010U000010rDPnQAM,,,,,,,Support,Closed,Support,Phone,Problems using service,Medium,I'm having difficult using the service and would like some assistant.,1,2020-04-14T22:33:55.000+0000,,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,(555) 795-7653,(555) 497-4805,maida.basnett@example.com,,2020-04-14T22:33:56.000+0000,2020-04-14T22:33:56.000+0000,000327424038,000329276166,000713671095,000-93-2643
5000U00000AQkKFQA1,,00002232,0030U00000p33ehQAA,0010U000010rDPoQAM,,,,,,,Enrollment,New,Enrollment,Email,Transfer service,Medium,I need help transferring my service to another account.,,,,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,(555) 148-3887,(555) 284-6817,shara.shvey@example.com,,2020-04-14T22:33:56.000+0000,2020-04-14T22:33:56.000+0000,000123646450,000219303392,000179199990,000-32-7035
5000U00000AQkKGQA1,,00002233,0030U00000p33eiQAA,0010U000010rDPpQAM,,,,,,,Other,New,Other,Email,Transfer service,Medium,I need help transferring my service to another account.,,,,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,(555) 849-8189,(555) 838-2240,shandi.denogean@example.com,,2020-04-14T22:33:56.000+0000,2020-04-14T22:33:56.000+0000,000471085256,000449433265,000734766892,000-16-9315
5000U00000AQkKHQA1,,00002234,0030U00000p33ejQAA,0010U000010rDPqQAM,,,,,,,Billing,Closed,Billing,Phone,Question about my bill,Medium,I received my latest billing invoice and have questions about 1 of the line items.,1,2020-04-14T22:33:55.000+0000,,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,(555) 769-3297,(555) 401-3028,kyla.kachelmeyer@example.com,,2020-04-14T22:33:56.000+0000,2020-04-14T22:33:56.000+0000,000279063914,000556345671,000197890059,000-32-6092
5000U00000AQkKQQA1,,00002243,0030U00000p33exQAA,0010U000010rDPzQAM,,,,,,,Billing,Closed,Billing,Phone,Question about my bill,Medium,I received my latest billing invoice and have questions about 1 of the line items.,1,2020-04-14T22:34:02.000+0000,,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,(555) 713-9424,(555) 485-4699,tawny.zener@example.com,,2020-04-14T22:34:03.000+0000,2020-04-14T22:34:03.000+0000,000655169527,000432728538,000814707126,000-70-8342
5000U00000AQkKRQA1,,00002244,0030U00000p33eyQAA,0010U000010rDQ0QAM,,,,,,,Claim,Escalated,Claim,Phone,File a new claim,Medium,I'd like to file a new claim and have some questions about the information required.,,,,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,(555) 332-1230,(555) 226-1477,thurman.inzerillo@example.com,,2020-04-14T22:34:03.000+0000,2020-04-14T22:34:03.000+0000,000330933515,000234645763,000623937412,000-25-3181
5000U00000AQkKSQA1,,00002245,0030U00000p33ezQAA,0010U000010rDQ1QAM,,,,,,,Enrollment,Closed,Enrollment,Web,Transfer service,Low,I need help transferring my service to another account.,1,2020-04-14T22:34:02.000+0000,,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,(555) 840-7680,(555) 489-3585,bessie.skenandore@example.com,,2020-04-14T22:34:03.000+0000,2020-04-14T22:34:03.000+0000,000113765796,000397949588,000860070517,000-82-6186
5000U00000AQkKTQA1,,00002246,0030U00000p33f0QAA,0010U000010rDQ2QAM,,,,,,,Claim,New,Claim,Phone,File a new claim,Medium,I'd like to file a new claim and have some questions about the information required.,,,,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,(555) 294-9156,(555) 929-7655,louanne.hernander@example.com,,2020-04-14T22:34:03.000+0000,2020-04-14T22:34:03.000+0000,000448457239,000504231872,000962825703,000-13-2328
5000U00000AQkKXQA1,,00002250,0030U00000p33f4QAA,0010U000010rDQ6QAM,,,,,,,Support,New,Support,Web,Problems using service,Low,I'm having difficult using the service and would like some assistant.,,,,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,(555) 112-7850,(555) 473-6915,dolly.ronning@example.com,,2020-04-14T22:34:03.000+0000,2020-04-14T22:34:03.000+0000,000261644447,000889626448,000499730404,000-50-2279
5000U00000AQkKYQA1,,00002251,0030U00000p33f5QAA,0010U000010rDQ7QAM,,,,,,,Billing,Closed,Billing,Web,Question about my bill,High,I received my latest billing invoice and have questions about 1 of the line items.,1,2020-04-14T22:34:02.000+0000,,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,(555) 644-6831,(555) 615-4687,felice.sylla@example.com,,2020-04-14T22:34:03.000+0000,2020-04-14T22:34:03.000+0000,000799261337,000224474796,000380715412,000-36-9209
5000U00000AQkKZQA1,,00002252,0030U00000p33f6QAA,0010U000010rDQ8QAM,,,,,,,Support,New,Support,Phone,Problems using service,Medium,I'm having difficult using the service and would like some assistant.,,,,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,(555) 951-8769,(555) 192-3617,gertrudis.puchalla@example.com,,2020-04-14T22:34:03.000+0000,2020-04-14T22:34:03.000+0000,000152736606,000821239459,000295023110,000-49-7654
5000U00000AQkKaQAL,,00002253,0030U00000p33f7QAA,0010U000010rDQ9QAM,,,,,,,Claim,Closed,Claim,Email,File a new claim,Medium,I'd like to file a new claim and have some questions about the information required.,1,2020-04-14T22:34:02.000+0000,,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,0050U000002zM7qQAE,2020-04-14T22:34:02.000+0000,(555) 371-3301,(555) 673-3653,racquel.alampi@example.com,,2020-04-14T22:34:03.000+0000,2020-04-14T22:34:03.000+0000,000664468064,000574666691,000128066383,000-79-9594
5000U00000AQkKIQA1,,00002235,0030U00000p33ekQAA,0010U000010rDPrQAM,,,,,,,Cancellation,Closed,Cancellation,Phone,Cancel my service,Low,I'm moving and will no longer need my service and need assistant to cancel.,1,2020-04-14T22:33:55.000+0000,,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:55.000+0000,(555) 962-9270,(555) 116-2924,elwanda.sakash@example.com,,2020-04-14T22:33:56.000+0000,2020-04-14T22:33:56.000+0000,000196610841,000258955496,000644545704,000-93-7101
